"Year","Value","Range","StdDev","EarliestTrans","LatestTrans","FisheryCode","FileName","Gear","Region"
1990,7500,NA,NA,NA,NA,"S 04K","x_s04k.htm","Set Net","Kodiak"
1989,88063,NA,NA,NA,NA,"S 04K","x_s04k.htm","Set Net","Kodiak"
1988,78942,NA,NA,NA,NA,"S 04K","x_s04k.htm","Set Net","Kodiak"
1987,60122,NA,NA,NA,NA,"S 04K","x_s04k.htm","Set Net","Kodiak"
1986,61792,NA,NA,NA,NA,"S 04K","x_s04k.htm","Set Net","Kodiak"
1985,56357,NA,NA,NA,NA,"S 04K","x_s04k.htm","Set Net","Kodiak"
1984,57200,NA,NA,NA,NA,"S 04K","x_s04k.htm","Set Net","Kodiak"
1983,76525,NA,NA,NA,NA,"S 04K","x_s04k.htm","Set Net","Kodiak"
2016,56500,5000,2400,"2015-06","2016-11","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2015,55600,7500,3150,"2013-07","2015-12","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2014,55600,7500,3150,"2012-06","2013-07","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2013,55600,7500,3150,"2012-06","2013-07","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2012,55000,NA,NA,"2011-12","2012-06","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2011,54000,10000,4200,"2011-01","2011-12","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2010,49600,15000,5550,"2010-04","2010-11","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2009,51300,15000,7500,"2008-06","2009-12","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2008,51300,15000,7500,"2008-03","2008-12","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2007,57400,15000,6150,"2006-05","2007-06","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2006,56800,11000,4500,"2006-03","2006-10","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2005,50500,20000,8550,"2005-03","2005-12","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2004,38100,18500,8100,"2003-11","2004-09","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2003,50500,35000,5400,"2003-05","2003-11","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2002,62600,62500,7500,"2002-01","2002-11","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2001,73300,50000,2800,NA,"2001-05","S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2000,88900,8600,4100,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1999,86300,30000,6000,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1998,78800,20000,8550,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1997,97200,50000,4600,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1996,6300,15000,7500,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1995,9300,40000,2150,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1994,7900,51500,6750,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1993,29400,75000,4300,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1992,1400,40000,4350,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1991,30000,75000,150,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1990,21667,NA,NA,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1989,79156,NA,NA,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1988,85542,NA,NA,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1987,62063,NA,NA,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1986,56357,NA,NA,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1985,50313,NA,NA,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1984,50374,NA,NA,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
1983,55420,NA,NA,NA,NA,"S 04M","x_s04m.htm","Set Net","Pen. Aleut."
2016,3300,4500,1850,"2005-04","2011-11","S 04P","x_s04p.htm","Set Net","Upper Yukon"
2015,3300,4500,1850,"2005-04","2011-11","S 04P","x_s04p.htm","Set Net","Upper Yukon"
2014,3300,4500,1850,"2005-04","2011-11","S 04P","x_s04p.htm","Set Net","Upper Yukon"
2013,3300,4500,1850,"2005-04","2011-11","S 04P","x_s04p.htm","Set Net","Upper Yukon"
2012,3300,4500,1850,"2005-04","2011-11","S 04P","x_s04p.htm","Set Net","Upper Yukon"
2011,3300,4500,1850,"2005-04","2011-11","S 04P","x_s04p.htm","Set Net","Upper Yukon"
2010,3600,4500,2050,"2004-12","2007-06","S 04P","x_s04p.htm","Set Net","Upper Yukon"
2009,3600,4500,2050,"2004-12","2007-06","S 04P","x_s04p.htm","Set Net","Upper Yukon"
2008,3600,4500,2050,"2004-12","2007-06","S 04P","x_s04p.htm","Set Net","Upper Yukon"
2007,3600,4500,2050,"2004-12","2007-06","S 04P","x_s04p.htm","Set Net","Upper Yukon"
2006,4600,2500,1100,NA,"2006-07","S 04P","x_s04p.htm","Set Net","Upper Yukon"
2005,5900,3000,1450,NA,"2005-04","S 04P","x_s04p.htm","Set Net","Upper Yukon"
2004,6300,3000,1500,NA,"2004-12","S 04P","x_s04p.htm","Set Net","Upper Yukon"
2003,7500,5000,2100,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
2002,7500,5000,2100,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
2001,7500,5000,2100,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
2000,7500,5000,2100,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1999,7500,5000,2100,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1998,9300,5000,2200,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1997,9300,5000,2200,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1996,9300,5000,2200,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1995,0,5000,2150,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1994,0,5000,2150,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1993,0,5000,2150,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1992,1300,2000,950,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1991,1300,2000,950,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1990,1250,NA,NA,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1989,9875,NA,NA,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1988,8733,NA,NA,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1987,9167,NA,NA,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1986,7667,NA,NA,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1985,NA,NA,NA,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1984,NA,NA,NA,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
1982,8366,NA,NA,NA,NA,"S 04P","x_s04p.htm","Set Net","Upper Yukon"
2016,33700,15000,4000,"2016-03","2016-09","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2015,38500,20000,4950,"2015-01","2015-10","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2014,38600,7000,1950,"2014-01","2014-11","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2013,39900,8000,2500,"2013-01","2013-11","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2012,40300,10000,2500,"2012-01","2012-10","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2011,35900,25000,4950,"2011-01","2011-12","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2010,28700,16000,3000,"2010-01","2010-12","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2009,28200,8000,2250,"2009-01","2009-12","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2008,27400,10000,2600,"2008-01","2008-09","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2007,24000,16000,3200,"2007-01","2007-12","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2006,22400,17000,4200,"2006-02","2006-11","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2005,15100,9500,2400,"2005-01","2005-12","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2004,14300,15000,3100,"2004-02","2004-12","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2003,12600,17000,3150,"2003-01","2003-12","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2002,12100,15000,2950,"2002-01","2002-12","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2001,25300,20000,5600,"2001-02","2001-12","S 04T","x_s04t.htm","Set Net","Bristol Bay"
2000,32400,15000,3450,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1999,31300,26000,5450,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1998,30400,15000,4000,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1997,39000,26500,6050,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1996,41100,35000,5700,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1995,42200,16000,4850,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1994,37800,30000,5450,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1993,49100,34500,6900,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1992,49800,25000,6250,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1991,59500,35000,9150,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1990,65179,NA,NA,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1989,61125,NA,NA,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1988,46508,NA,NA,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1987,35254,NA,NA,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1986,33054,NA,NA,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1985,35974,NA,NA,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1984,41533,NA,NA,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1983,41246,NA,NA,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
1982,37394,NA,NA,NA,NA,"S 04T","x_s04t.htm","Set Net","Bristol Bay"
2016,7300,500,300,"2014-12","2015-03","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2015,7300,500,300,"2014-12","2015-03","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2014,8300,3000,1150,"2014-05","2014-12","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2013,8700,3200,1550,"2013-02","2013-06","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2012,7100,2500,1000,"2012-04","2012-10","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2011,6900,3000,1150,"2011-07","2011-12","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2010,6300,3500,1050,"2010-03","2010-11","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2009,5800,1000,500,"2009-01","2009-10","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2008,5900,2800,1000,"2008-01","2008-11","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2007,7500,5000,2100,"2006-10","2007-06","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2006,7000,5000,2450,"2006-02","2006-12","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2005,5800,5000,2350,"2005-06","2005-11","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2004,5900,6000,2650,"2001-06","2004-11","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2003,5500,6000,2650,NA,"2003-09","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2002,7000,3000,1400,NA,"2001-11","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2001,7000,3000,1400,NA,"2001-11","S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2000,6500,7000,3100,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1999,6500,7000,4050,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1998,9000,2000,1150,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1997,0,2000,700,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1996,3900,4500,2250,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1995,2000,7000,1900,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1994,2500,1000,350,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1993,3100,5000,1800,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1992,2300,7000,2150,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1991,3400,5000,1900,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1990,2474,NA,NA,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1989,2050,NA,NA,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1988,9669,NA,NA,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1987,9889,NA,NA,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1986,133,NA,NA,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1985,43,NA,NA,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1984,9894,NA,NA,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1983,222,NA,NA,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
1982,9722,NA,NA,NA,NA,"S 04W","x_s04w.htm","Set Net","Kuskokim Goodnews"
2016,5500,1000,600,"2015-01","2016-08","S 04X","x_s04x.htm","Set Net","Kotzebue"
2015,5400,1500,750,"2014-10","2015-01","S 04X","x_s04x.htm","Set Net","Kotzebue"
2014,5100,2500,1050,"2014-03","2014-11","S 04X","x_s04x.htm","Set Net","Kotzebue"
2013,4900,1500,650,"2011-10","2013-09","S 04X","x_s04x.htm","Set Net","Kotzebue"
2012,4600,1500,750,"2011-07","2012-05","S 04X","x_s04x.htm","Set Net","Kotzebue"
2011,4100,2500,950,"2011-06","2011-11","S 04X","x_s04x.htm","Set Net","Kotzebue"
2010,2800,4000,1650,"2009-05","2010-09","S 04X","x_s04x.htm","Set Net","Kotzebue"
2009,4300,4500,2200,"2009-01","2009-06","S 04X","x_s04x.htm","Set Net","Kotzebue"
2008,2500,900,350,"2001-07","2008-11","S 04X","x_s04x.htm","Set Net","Kotzebue"
2007,2500,900,350,NA,"2005-10","S 04X","x_s04x.htm","Set Net","Kotzebue"
2006,2500,900,350,NA,"2005-10","S 04X","x_s04x.htm","Set Net","Kotzebue"
2005,2500,900,350,NA,"2005-10","S 04X","x_s04x.htm","Set Net","Kotzebue"
2004,2000,1500,700,NA,"2001-07","S 04X","x_s04x.htm","Set Net","Kotzebue"
2003,2000,1500,700,NA,"2001-07","S 04X","x_s04x.htm","Set Net","Kotzebue"
2002,2000,1500,700,NA,"2001-07","S 04X","x_s04x.htm","Set Net","Kotzebue"
2001,2000,1500,700,NA,"2001-07","S 04X","x_s04x.htm","Set Net","Kotzebue"
2000,2000,2500,1200,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1999,3300,2000,850,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1998,4300,4500,1950,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1997,4400,4500,1900,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1996,4400,4500,1900,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1995,4400,4500,1900,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1994,9800,3000,5350,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1993,1000,1000,5050,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1992,500,1000,4800,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1991,8000,7000,2550,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1990,8250,NA,NA,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1989,7667,NA,NA,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1988,8156,NA,NA,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1987,9500,NA,NA,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1986,819,NA,NA,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1985,475,NA,NA,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1984,NA,NA,NA,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
1982,9591,NA,NA,NA,NA,"S 04X","x_s04x.htm","Set Net","Kotzebue"
2016,9800,3000,800,"2016-01","2016-12","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2015,9900,500,200,"2015-03","2015-12","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2014,8600,7000,2500,"2014-04","2014-10","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2013,11200,5500,1850,"2013-01","2013-10","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2012,9400,3800,1100,"2012-02","2012-11","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2011,9000,3000,1100,"2011-01","2011-12","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2010,9100,2000,850,"2009-06","2010-09","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2009,9100,2000,850,"2009-01","2009-08","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2008,8800,2000,800,"2008-03","2008-12","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2007,9900,500,200,"2007-01","2007-10","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2006,9100,5000,1350,"2006-02","2006-10","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2005,8400,1700,600,"2005-03","2005-12","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2004,8400,5000,3450,"2004-01","2004-11","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2003,11000,2000,4300,"2002-10","2003-06","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2002,12700,7000,3000,"2001-02","2002-10","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2001,11500,2000,950,NA,"2001-05","S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2000,12100,5500,1650,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1999,12200,5000,1750,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1998,16000,4000,1350,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1997,17500,6900,1950,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1996,20500,2500,3650,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1995,23000,7000,4850,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1994,24500,5500,5550,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1993,31400,7000,2600,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1992,29300,200,3200,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1991,24900,8000,4600,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1990,26625,NA,NA,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1989,25527,NA,NA,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1988,20669,NA,NA,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1987,22295,NA,NA,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1986,22455,NA,NA,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1985,22917,NA,NA,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1984,28441,NA,NA,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
1982,18250,NA,NA,NA,NA,"S 04Y","x_s04y.htm","Set Net","Low Yuk CapeRom"
2016,12300,3500,1250,"2016-02","2016-12","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2015,11100,2500,1050,"2014-09","2015-06","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2014,10900,2000,850,"2014-06","2014-09","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2013,10400,2500,1100,"2012-07","2013-07","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2012,9400,3500,1200,"2012-02","2012-11","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2011,8100,3900,1450,"2011-01","2011-12","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2010,5600,1500,600,"2010-01","2010-11","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2009,5300,3000,900,"2009-05","2009-11","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2008,4600,2500,800,"2008-05","2008-10","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2007,4100,5000,1400,"2007-02","2007-12","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2006,4300,500,250,NA,"2006-07","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2005,4400,500,250,NA,"2003-03","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2004,4400,500,250,NA,"2003-03","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2003,4400,500,250,NA,"2003-03","S 04Z","x_s04z.htm","Set Net","Norton Sound"
2002,4500,100,50,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
2001,4500,100,50,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
2000,4500,100,50,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1999,4600,1500,650,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1998,4900,1500,750,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1997,5200,1800,750,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1996,6800,2500,1200,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1995,7200,900,450,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1994,7800,2000,850,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1993,7000,2000,1150,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1992,8800,6000,2150,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1991,9200,4000,1650,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1990,11000,NA,NA,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1989,10083,NA,NA,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1988,10167,NA,NA,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1987,9750,NA,NA,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1986,10167,NA,NA,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1985,12167,NA,NA,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1984,13150,NA,NA,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
1982,10100,NA,NA,NA,NA,"S 04Z","x_s04z.htm","Set Net","Norton Sound"
2016,10200,4000,850,"2016-01","2016-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2015,11000,2500,650,"2015-01","2015-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2014,10800,3000,700,"2014-01","2014-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2013,10300,3000,550,"2013-01","2013-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2012,10900,3000,700,"2012-01","2012-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2011,10400,6000,850,"2011-01","2011-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2010,9900,3000,600,"2010-01","2010-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2009,10500,3500,650,"2009-01","2009-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2008,9900,4500,850,"2008-01","2008-11","S 05B","x_s05b.htm","Hand Troll","Statewide"
2007,9500,5000,900,"2007-01","2007-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2006,8600,3000,850,"2006-01","2006-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2005,7200,4000,900,"2005-01","2005-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2004,4100,5000,950,"2004-01","2004-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2003,3500,2000,400,"2003-01","2003-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2002,3700,3500,600,"2002-01","2002-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2001,4100,1800,400,"2001-01","2001-12","S 05B","x_s05b.htm","Hand Troll","Statewide"
2000,4100,5000,650,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1999,3900,2200,450,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1998,4700,5000,750,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1997,5500,4500,750,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1996,5900,5000,900,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1995,7500,3500,600,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1994,7400,7000,900,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1993,7700,3000,600,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1992,8500,8000,1050,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1991,8400,4500,750,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1990,7684,NA,NA,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1989,7423,NA,NA,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1988,6503,NA,NA,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1987,5620,NA,NA,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1986,5297,NA,NA,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1985,5109,NA,NA,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1984,4732,NA,NA,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
1982,3828,NA,NA,NA,NA,"S 05B","x_s05b.htm","Hand Troll","Statewide"
2016,35000,5000,1000,"2016-01","2016-11","S 15B","x_s15b.htm","Power Troll","Statewide"
